Rank,Name Country/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Citations,Industry Income,International Outlook,Overall,Research,Teaching
1501+,Université Mouloud Mammeri de Tizi-Ouzou,41107,18.1,0%,66 : 34,6.3,36.9,44.9,10.4–18.3,7.5,21.9
1501+,Muroran Institute of Technology,3397,20.3,6%,14 : 86,17.2,42.7,34.1,10.4–18.3,11.0,15.5
1501+,Mustansiriyah University,33105,7.1,1%,51 : 49,18.2,40.0,28.7,10.4–18.3,8.2,21.7
1501+,Universidad Nacional del Litoral,47336,30.0,0%,60 : 40,14.6,37.9,27.9,10.4–18.3,8.9,13.5
1501+,Universidad Nacional Mayor de San Marcos,47716,26.1,0%,71 : 29,4.5,36.9,37.2,10.4–18.3,10.4,15.3
1501+,Nagoya Institute of Technology,5774,16.3,5%,17 : 83,7.5,49.2,26.7,10.4–18.3,19.6,17.1
1501+,Naresuan University,24827,16.7,1%,66 : 34,13.3,41.3,31.3,10.4–18.3,9.2,15.7
1501+,National Changhua University of EducationTaiwan,8515,23.2,4%,49 : 51,7.8,39.3,24.9,10.4–18.3,16.5,21.2
1501+,National Chiayi UniversityTaiwan,12059,26.3,3%,49 : 51,13.2,64.0,19.5,10.4–18.3,13.1,15.2
1501+,National Chi Nan UniversityTaiwan,5773,14.6,11%,54 : 46,7.3,50.7,30.8,10.4–18.3,14.9,18.3
1501+,National University of Córdoba,167063,16.2,1%,64 : 36,19.4,37.4,35.3,10.4–18.3,10.2,18.3
1501+,National Formosa UniversityTaiwan,11134,19.0,1%,22 : 78,6.5,41.6,16.5,10.4–18.3,14.3,14.3
1501+,National Ilan UniversityTaiwan,5476,23.0,2%,36 : 64,16.6,42.0,32.5,10.4–18.3,13.3,14.6
1501+,National University of KaohsiungTaiwan,5741,24.0,4%,41 : 59,5.2,41.6,27.8,10.4–18.3,15.3,14.4
1501+,National Kaohsiung University of Science and TechnologyTaiwan,28128,28.2,2%,36 : 64,15.0,48.6,22.8,10.4–18.3,13.8,15.7
1501+,National Taipei UniversityTaiwan,8344,16.0,5%,54 : 46,14.2,38.1,28.5,10.4–18.3,13.7,18.5
1501+,National United UniversityTaiwan,7418,20.7,1%,32 : 68,21.6,39.4,20.0,10.4–18.3,13.1,13.9
1501+,Nizhny Novgorod State Technical University,7728,12.0,3%,25 : 75,6.4,48.9,20.0,10.4–18.3,9.2,17.6
1501+,Nnamdi Azikiwe University,33509,15.7,0%,46 : 54,14.3,37.2,27.6,10.4–18.3,8.3,16.6
1501+,North-Caucasus Federal University,17829,8.2,10%,51 : 49,16.5,38.4,29.7,10.4–18.3,9.0,22.7
1501+,North-Eastern Federal University,12449,12.5,3%,55 : 45,6.0,37.7,23.5,10.4–18.3,9.7,21.5
1501+,Northern (Arctic) Federal University named after M.V. Lomonosov,7623,15.3,8%,54 : 46,4.0,39.3,27.5,10.4–18.3,11.0,17.7
1501+,North-Western State Medical University named after I.I. Mechnikov,6392,5.8,10%,nan,1.3,36.9,25.1,10.4–18.3,8.3,22.1
1501+,Nosov Magnitogorsk State Technical University,8128,14.4,3%,45 : 55,5.5,38.7,17.7,10.4–18.3,10.3,15.9
1501+,Universidade Nove de Julho (Uninove),79285,25.4,1%,58 : 42,11.7,37.9,22.2,10.4–18.3,7.7,18.4
1501+,University of Novi Sad,47669,15.3,1%,57 : 43,15.7,42.2,35.8,10.4–18.3,11.1,16.7
1501+,Novosibirsk State Technical University,11566,10.7,22%,45 : 55,5.5,40.5,36.9,10.4–18.3,13.0,20.1
1501+,Nueva Granada Military University,17620,10.4,0%,46 : 54,2.9,37.0,27.3,10.4–18.3,7.7,18.0
1501+,Ochanomizu University,2743,14.9,6%,100 : 0,7.7,39.4,26.8,10.4–18.3,13.9,28.6
1501+,Ogarev Mordovia State University,15472,14.6,13%,49 : 51,3.2,39.7,28.9,10.4–18.3,9.2,15.5
1501+,Oita University,5433,8.5,2%,38 : 62,17.3,39.5,19.6,10.4–18.3,11.1,20.8
1501+,Omsk State Technical University,12553,11.6,18%,34 : 66,6.5,38.9,32.2,10.4–18.3,8.7,16.4
1501+,Ondokuz Mayis University,33798,16.0,15%,50 : 50,16.9,43.8,33.6,10.4–18.3,10.5,16.1
1501+,University of Oradea,15840,17.2,6%,55 : 45,16.3,37.1,35.2,10.4–18.3,8.9,14.8
1501+,Osaka Institute of Technology,7160,30.3,1%,13 : 87,22.9,41.3,24.1,10.4–18.3,12.2,14.7
1501+,Osaka Medical and Pharmaceutical University,3094,5.5,1%,59 : 41,14.8,38.7,16.5,10.4–18.3,10.8,25.0
1501+,Ovidius University of Constanța,18344,12.7,6%,47 : 53,3.1,37.0,23.4,10.4–18.3,8.6,16.2
1501+,Universitas Padjadjaran,35873,12.1,1%,60 : 40,17.0,41.8,26.1,10.4–18.3,11.0,22.5
1501+,Universidad Panamericana (UP),14504,8.5,1%,48 : 52,8.7,37.0,36.5,10.4–18.3,9.1,20.5
1501+,University of PardubiceCzech Republic,7606,14.0,7%,56 : 44,5.7,37.3,34.9,10.4–18.3,16.7,18.6
1501+,University of Passo Fundo (UPF),11671,24.7,0%,58 : 42,23.1,37.0,23.9,10.4–18.3,10.1,16.9
1501+,Pavlov First Saint Petersburg State Medical University,5493,6.3,13%,74 : 26,10.6,39.7,31.4,10.4–18.3,9.2,23.1
1501+,Payame Noor UniversityIran,454155,124.7,1%,60 : 40,23.5,38.2,18.2,10.4–18.3,9.0,14.8
1501+,Pedagogical and Technological University of Colombia,32037,15.4,0%,54 : 46,6.1,37.0,35.2,10.4–18.3,7.6,14.5
1501+,Penza State University,18451,17.2,11%,57 : 43,9.0,37.3,27.5,10.4–18.3,8.4,14.1
1501+,Perm National Research Polytechnic University,8565,10.2,9%,36 : 64,3.9,67.5,24.9,10.4–18.3,10.8,19.3
1501+,Perm State University,9837,12.1,5%,57 : 43,2.2,42.3,20.9,10.4–18.3,11.3,18.9
1501+,University of Pernambuco,18556,17.0,0%,43 : 57,17.8,37.4,24.8,10.4–18.3,10.0,16.0
1501+,Platov South-Russian State Polytechnic University (NPI),7208,15.7,8%,21 : 79,3.8,41.6,21.9,10.4–18.3,9.4,15.1
1501+,Universidad Politécnica Salesiana,21335,20.7,1%,41 : 59,14.5,37.4,46.4,10.4–18.3,8.8,13.0
1501+,Polytechnic University of Bucharest,30287,24.4,4%,36 : 64,10.2,37.7,22.1,10.4–18.3,11.8,16.6
1501+,Polytechnic University of Timişoara,13081,21.5,2%,37 : 63,20.3,38.1,19.9,10.4–18.3,10.6,14.9
1501+,Pontifical Catholic University of Minas Gerais,39142,34.0,0%,56 : 44,6.8,37.2,21.3,10.4–18.3,9.4,17.6
1501+,Universidad Pontificia Bolivariana (UPB),11497,11.5,2%,55 : 45,4.8,39.3,36.4,10.4–18.3,10.6,18.7
1501+,Pontificia Universidad Católica del Ecuador,23170,15.0,1%,57 : 43,18.4,36.9,52.7,10.4–18.3,8.0,14.8
1501+,Prague University of Economics and BusinessCzech Republic,13700,28.1,27%,52 : 48,6.8,37.7,47.0,10.4–18.3,14.0,16.4
1501+,Privolzhsky Research Medical University,6202,10.8,18%,54 : 46,1.4,36.9,33.7,10.4–18.3,8.4,18.8
1501+,PSG College of Technology,8594,15.3,0%,38 : 62,21.1,38.0,15.0,10.4–18.3,9.6,16.9
1501+,Recep Tayyip Erdoğan University,13468,19.2,4%,53 : 47,16.9,37.1,20.1,10.4–18.3,8.8,15.6
1501+,University of Rijeka,13155,15.6,2%,58 : 42,14.9,39.3,31.3,10.4–18.3,15.9,17.1
1501+,Russian Presidential Academy of National Economy and Public Administration,16464,9.8,4%,60 : 40,6.5,41.0,21.0,10.4–18.3,16.3,20.8
1501+,R V College of Engineering,5953,15.4,0%,29 : 71,26.2,38.3,14.1,10.4–18.3,9.7,15.6
1501+,Ryukoku University,15692,27.7,2%,37 : 63,11.7,37.5,24.9,10.4–18.3,10.0,15.6
1501+,Rzeszów University of Technology,11259,12.1,1%,38 : 62,24.0,40.5,21.3,10.4–18.3,9.3,16.9
1501+,University of La Sabana,12123,15.5,2%,57 : 43,12.6,38.0,42.6,10.4–18.3,10.1,17.0
1501+,Saitama University,8457,14.9,6%,33 : 67,13.3,39.0,34.9,10.4–18.3,13.5,19.7
1501+,Samara State Technical University,13689,16.2,4%,38 : 62,7.1,47.9,18.4,10.4–18.3,11.4,15.6
1501+,San Sebastián University,19858,10.4,0%,61 : 39,8.9,36.9,41.6,10.4–18.3,8.1,17.1
1501+,Satbayev University,9243,9.7,4%,38 : 62,5.0,41.1,67.9,10.4–18.3,9.3,19.6
1501+,University of Science and Technology of Oran Mohamed-Boudiaf,19115,6.9,1%,49 : 51,7.8,37.0,32.3,10.4–18.3,7.7,21.6
1501+,SGH Warsaw School of Economics,9092,17.7,12%,50 : 50,10.3,37.8,32.3,10.4–18.3,13.2,16.9
1501+,Shimane University,6055,7.7,3%,38 : 62,17.0,40.0,24.9,10.4–18.3,11.3,21.2
1501+,Shizuoka University,9926,14.2,4%,29 : 71,10.6,43.3,32.0,10.4–18.3,14.8,18.7
1501+,University of Shizuoka,3125,11.9,3%,61 : 39,10.2,41.5,22.8,10.4–18.3,12.8,19.5
1501+,Siberian State Medical University,6522,11.1,24%,70 : 30,0.9,37.0,38.8,10.4–18.3,8.3,17.3
1501+,Sichuan University of Science and Engineering,38707,21.2,1%,43 : 57,21.9,42.5,17.4,10.4–18.3,9.4,13.1
1501+,University of Silesia in Katowice,19962,12.0,3%,67 : 33,10.1,37.0,26.9,10.4–18.3,12.3,19.4
1501+,Silpakorn University,24310,21.0,1%,69 : 31,16.7,49.4,26.1,10.4–18.3,10.9,18.4
1501+,University of Sistan and BaluchestanIran,9109,20.3,1%,57 : 43,21.9,37.4,20.1,10.4–18.3,11.5,16.8
1501+,Sivas Cumhuriyet University,44942,34.8,4%,49 : 51,17.8,37.3,21.1,10.4–18.3,9.3,18.2
1501+,Slovak University of Technology in Bratislava,10976,8.8,5%,28 : 72,7.5,38.4,32.3,10.4–18.3,11.8,22.0
1501+,University of Sonora,35026,25.6,1%,56 : 44,9.7,36.9,26.8,10.4–18.3,8.1,14.5
1501+,Sophia UniversityJapan,13402,11.8,12%,60 : 40,9.1,37.5,47.2,10.4–18.3,10.0,20.3
1501+,Southwest State University,6878,14.0,11%,41 : 59,7.0,41.1,26.9,10.4–18.3,10.1,17.7
1501+,Srinakharinwirot University,26673,19.6,0%,67 : 33,10.2,37.3,19.7,10.4–18.3,8.6,18.4
1501+,State University of Ponta Grossa,8453,9.1,1%,55 : 45,18.2,37.1,22.8,10.4–18.3,9.9,20.7
1501+,State University of Santa Cruz,6887,9.4,1%,56 : 44,17.1,37.3,28.7,10.4–18.3,9.2,21.3
1501+,Süleyman Demirel University,41032,34.8,5%,50 : 50,23.2,37.3,22.9,10.4–18.3,9.1,15.8
1501+,University of Sumatera Utara,36146,21.1,2%,54 : 46,25.1,38.0,22.0,10.4–18.3,9.9,15.4
1501+,Tamil Nadu Agricultural University,6724,8.7,0%,62 : 38,2.0,41.5,15.0,10.4–18.3,10.3,25.2
1501+,Technical University of Cluj-Napoca,18649,20.5,2%,38 : 62,19.5,39.1,23.0,10.4–18.3,12.0,15.6
1501+,Technical University of LiberecCzech Republic,5222,11.5,11%,52 : 48,7.7,44.0,43.3,10.4–18.3,15.4,20.2
1501+,Technical University of Loja,51567,33.4,1%,56 : 44,10.2,37.1,51.8,10.4–18.3,7.8,11.6
1501+,Technical University of Sofia,10339,11.6,9%,27 : 73,8.0,39.3,26.1,10.4–18.3,8.3,17.5
1501+,Universidade Tecnológica Federal do Paraná (UTFPR),33484,12.8,1%,35 : 65,12.6,37.4,22.1,10.4–18.3,10.1,16.4
1501+,Universiti Teknologi MARA,60563,16.0,1%,67 : 33,10.4,37.5,20.9,10.4–18.3,13.2,19.0
1501+,Telkom University,18977,18.2,1%,43 : 57,20.3,40.5,29.4,10.4–18.3,10.5,14.1
1501+,Temuco Catholic University,10629,12.3,1%,60 : 40,7.9,38.3,41.5,10.4–18.3,10.1,16.0
1501+,Tokyo University of Agriculture,12907,32.7,1%,43 : 57,15.3,38.7,21.3,10.4–18.3,10.1,15.8
1501+,Tokyo City University,7415,15.5,2%,24 : 76,5.1,46.6,23.0,10.4–18.3,10.3,16.3
1501+,Tokyo Denki University,9846,28.5,3%,13 : 87,1.7,40.2,19.5,10.4–18.3,9.6,15.0
1501+,Tokyo University of Pharmacy and Life Sciences,3853,18.9,1%,52 : 48,11.2,38.0,18.4,10.4–18.3,7.8,17.5
1501+,Tomsk State University of Control Systems and Radioelectronics,6185,14.1,14%,32 : 68,18.1,55.6,33.2,10.4–18.3,11.2,17.3
1501+,Tottori University,5995,8.1,2%,38 : 62,14.4,39.6,22.6,10.4–18.3,12.3,23.3
1501+,Toyo University,30465,24.2,6%,43 : 57,4.8,37.9,30.9,10.4–18.3,9.0,14.4
1501+,University of Tunis,16418,12.8,2%,68 : 32,14.7,37.0,38.2,10.4–18.3,9.6,20.5
1501+,University of Tyumen,11569,15.4,9%,61 : 39,9.0,41.1,34.5,10.4–18.3,12.7,16.6
1501+,Ufa State Aviation Technical University,8865,13.2,2%,35 : 65,8.7,42.7,18.0,10.4–18.3,9.5,15.8
1501+,Universitas Andalas,32537,21.6,0%,55 : 45,10.7,43.4,16.7,10.4–18.3,9.1,23.9
1501+,Universiti Malaysia Sabah (UMS),17068,19.0,4%,67 : 33,16.5,37.5,40.1,10.4–18.3,12.6,16.3
1501+,Uşak University,20902,38.1,11%,47 : 53,10.5,39.1,28.2,10.4–18.3,10.0,12.3
1501+,Utsunomiya University,4829,14.1,4%,37 : 63,3.0,40.2,24.5,10.4–18.3,11.6,19.0
1501+,University of Valparaíso,16371,18.3,2%,58 : 42,18.6,37.0,47.8,10.4–18.3,11.4,15.5
1501+,Van Yüzüncü Yil University,20523,17.0,3%,44 : 56,10.4,61.0,19.4,10.4–18.3,22.7,17.4
1501+,Vietnam National University (Ho Chi Minh City)Vietnam,75704,21.7,1%,46 : 54,20.7,41.5,35.6,10.4–18.3,10.1,15.1
1501+,V.I. Vernadsky Crimean Federal University (Vernadsky CFU),21501,11.2,8%,58 : 42,6.5,37.1,24.1,10.4–18.3,8.6,17.1
1501+,Voronezh State University,15534,11.7,16%,57 : 43,3.3,37.9,34.7,10.4–18.3,10.2,18.8
1501+,VSB - Technical University of OstravaCzech Republic,11087,14.4,10%,33 : 67,8.2,44.1,42.0,10.4–18.3,17.0,18.8
1501+,Walailak University,8553,13.3,1%,73 : 27,14.5,37.2,36.0,10.4–18.3,10.6,17.7
1501+,University of Warmia and Mazury in Olsztyn,17690,17.7,2%,59 : 41,20.6,39.2,21.4,10.4–18.3,12.2,16.8
1501+,University of West Attica,34530,33.6,0%,49 : 51,22.8,37.3,26.0,10.4–18.3,9.8,12.0
1501+,West University of Timişoara,14527,24.6,6%,66 : 34,16.8,37.7,28.7,10.4–18.3,13.4,18.7
1501+,Wrocław University of Science and Technology,23657,20.3,6%,35 : 65,14.9,45.5,27.3,10.4–18.3,16.0,17.9
1501+,Yamaguchi University,10724,11.1,7%,38 : 62,13.9,43.8,30.4,10.4–18.3,12.3,21.3
1501+,Yanshan University,38649,13.2,1%,39 : 61,18.3,46.9,17.0,10.4–18.3,10.9,17.2
1501+,Yeditepe University,17038,28.2,5%,55 : 45,10.5,65.7,29.6,10.4–18.3,12.2,18.8
1501+,Yuri Gagarin State Technical University of Saratov (SSTU),28280,34.1,1%,42 : 58,7.2,37.5,16.7,10.4–18.3,8.9,12.5
1501+,Zonguldak Bülent Ecevit University,28319,25.4,8%,47 : 53,23.5,38.9,23.1,10.4–18.3,8.2,13.2
Reporter,University Abdelhamid Ibn Badis Mostaganem,24493,19.3,1%,67 : 33,,,,,,
Reporter,Abdullah Gül University,2509,20.1,9%,43 : 57,,,,,,
Reporter,Abertay University,4008,21.9,22%,48 : 52,,,,,,
Reporter,"Adamawa State University, Mubi",17840,70.0,0%,35 : 65,,,,,,
Reporter,AECC University College,617,15.8,43%,47 : 53,,,,,,
Reporter,Afe Babalola UniversityNigeria,9085,11.1,1%,59 : 41,,,,,,
Reporter,Aga Khan University,1356,2.3,1%,65 : 35,,,,,,
Reporter,Ahl Al Bayt University,2879,14.3,1%,51 : 49,,,,,,
Reporter,Aichi Prefectural University,3302,15.2,1%,72 : 28,,,,,,
Reporter,Air University,6404,15.2,0%,32 : 68,,,,,,
Reporter,Ajeenkya DY Patil University,2793,16.4,0%,24 : 76,,,,,,
Reporter,AKFA University,317,22.6,5%,51 : 49,,,,,,
Reporter,Ajman University,5050,16.4,82%,59 : 41,,,,,,
Reporter,Akita Prefectural University,1826,8.5,1%,26 : 74,,,,,,
Reporter,Akwa Ibom State University,10026,20.7,0%,42 : 58,,,,,,
Reporter,Al-Ayen University,11000,51.2,0%,66 : 34,,,,,,
Reporter,Alex Ekwueme Federal University Ndufu-Alike,12962,16.8,0%,52 : 48,,,,,,
Reporter,Al Ahliyya Amman University,4192,11.8,57%,50 : 50,,,,,,
Reporter,Al-Farabi University College,4309,16.0,0%,36 : 64,,,,,,
Reporter,Al-Farahidi University,17080,65.9,0%,47 : 53,,,,,,
Reporter,Al-Esraa University College,16150,22.2,0%,nan,,,,,,
Reporter,University of Al-Hamdaniya,2302,26.5,0%,32 : 68,,,,,,
Reporter,Alisher Navo’i Tashkent State University of Uzbek Language and Literature,3614,12.9,6%,82 : 18,,,,,,
Reporter,Al-Kitab University,7206,16.9,0%,32 : 68,,,,,,
Reporter,Al-Maarif University College,6000,17.6,1%,60 : 40,,,,,,
Reporter,Al-Manara College for Medical Sciences,4538,30.9,0%,47 : 53,,,,,,
Reporter,Almazov National Medical Research Centre,1188,5.0,2%,70 : 30,,,,,,
Reporter,Al-Mustaqbal University CollegeIraq,9698,20.8,0%,41 : 59,,,,,,
Reporter,Al-Muthanna University,15591,23.1,0%,55 : 45,,,,,,
Reporter,Al-Nahrain University,5716,6.2,0%,49 : 51,,,,,,
Reporter,Al-Noor University College,6454,40.6,0%,62 : 38,,,,,,
Reporter,Al-Quds UniversityPalestine,12170,12.3,6%,62 : 38,,,,,,
Reporter,Altınbaş University,8204,13.7,47%,41 : 59,,,,,,
Reporter,American International University – Bangladesh,10738,26.6,0%,24 : 76,,,,,,
Reporter,American University of Madaba,1685,17.9,26%,47 : 53,,,,,,
Reporter,American University of Nigeria,1100,10.1,2%,49 : 51,,,,,,
Reporter,American University of Ras Al Khaimah,784,8.1,63%,50 : 50,,,,,,
Reporter,"Amity University, Gurugram",5695,14.8,2%,40 : 60,,,,,,
Reporter,"Amity University, Gwalior",2160,12.6,0%,43 : 57,,,,,,
Reporter,"Amity University Rajasthan, Jaipur",2971,12.5,0%,33 : 67,,,,,,
Reporter,"Amity University, Mumbai",4358,22.7,0%,48 : 52,,,,,,
Reporter,Andijan State Medical Institute,6831,9.5,5%,47 : 53,,,,,,
Reporter,Andrés Bello Catholic University (UCAB)Venezuela,10857,17.8,1%,50 : 50,,,,,,
Reporter,Anglo-American UniversityCzech Republic,620,12.7,80%,40 : 60,,,,,,
Reporter,Ankara Science University,393,9.6,19%,62 : 38,,,,,,
Reporter,Arab American UniversityPalestine,12070,31.1,44%,58 : 42,,,,,,
Reporter,Arab Open University – Kuwait,9139,103.9,64%,57 : 43,,,,,,
Reporter,Arab Open University Lebanon,1754,13.3,14%,47 : 53,,,,,,
Reporter,Arts University Bournemouth,3308,14.1,21%,69 : 31,,,,,,
Reporter,Antonio Nariño University,13359,17.9,1%,53 : 47,,,,,,
Reporter,University of the Arts London,17931,12.8,60%,76 : 24,,,,,,
Reporter,Arts University Plymouth,1213,11.9,9%,72 : 28,,,,,,
Reporter,Asahi University,2607,8.7,5%,33 : 67,,,,,,
Reporter,Ashikaga University,1572,19.9,15%,25 : 75,,,,,,
Reporter,Ashur University College,1059,8.1,0%,59 : 41,,,,,,
Reporter,Audencia,5838,38.7,31%,52 : 48,,,,,,
Reporter,Augustine University,238,3.7,0%,40 : 60,,,,,,
Reporter,Azerbaijan University of Architecture and Construction,9846,18.9,3%,22 : 78,,,,,,
Reporter,Azerbaijan State University of Economics,17328,11.8,2%,51 : 49,,,,,,
Reporter,Babcock University,12340,18.8,0%,53 : 47,,,,,,
Reporter,Badr University in Cairo (BUC),14021,20.7,2%,55 : 45,,,,,,
Reporter,Bakrie University,3219,33.9,0%,57 : 43,,,,,,
Reporter,"Balochistan University of Engineering and Technology, Khuzdar",2990,15.0,%,7 : 93,,,,,,
Reporter,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",4329,14.9,0%,60 : 40,,,,,,
Reporter,Bandirma Onyedi Eylül University,15473,47.0,7%,45 : 55,,,,,,
Reporter,Bangabandhu Sheikh Mujibur Rahman Agricultural University,1760,8.4,3%,53 : 47,,,,,,
Reporter,Barawa International University,13200,35.3,3%,33 : 67,,,,,,
Reporter,Bartin University,10317,23.7,9%,44 : 56,,,,,,
Reporter,Bashkir State Medical University,8118,9.7,23%,69 : 31,,,,,,
Reporter,Basrah University College of Science and Technology,2115,21.2,0%,46 : 54,,,,,,
Reporter,Bath Spa University,6553,17.7,11%,68 : 32,,,,,,
Reporter,University of Batna 1,32179,28.1,0%,64 : 36,,,,,,
Reporter,Baze University,1790,5.2,0%,50 : 50,,,,,,
Reporter,Belarusian State University of Informatics and Radioelectronics,14082,16.2,4%,20 : 80,,,,,,
Reporter,Bells University of Technology,1765,7.5,0%,27 : 73,,,,,,
Reporter,University of Benghazi,76419,16.3,2%,58 : 42,,,,,,
Reporter,Benson Idahosa University,3859,16.6,0%,50 : 50,,,,,,
Reporter,Bernardo O’Higgins University,7554,18.1,4%,66 : 34,,,,,,
Reporter,Beykent University,22103,25.4,4%,47 : 53,,,,,,
Reporter,Bilecik Şeyh Edebali University,10434,18.2,8%,42 : 58,,,,,,
Reporter,Biruni University,5111,16.9,7%,72 : 28,,,,,,
Reporter,Birzeit UniversityPalestine,11486,17.5,5%,63 : 37,,,,,,
Reporter,University of Bisha,13919,11.8,1%,66 : 34,,,,,,
Reporter,Bishop Grosseteste University,2009,20.8,4%,79 : 21,,,,,,
Reporter,University of Bogotá Jorge Tadeo Lozano,7704,18.6,1%,55 : 45,,,,,,
Reporter,University of Bolton,5400,14.7,33%,61 : 39,,,,,,
Reporter,Botswana International University of Science and Technology (BIUST),2006,11.4,1%,22 : 78,,,,,,
Reporter,Bowen University,4161,12.0,0%,58 : 42,,,,,,
Reporter,Buckinghamshire New University,5289,17.4,32%,60 : 40,,,,,,
Reporter,Buriram Rajabhat University,11197,26.2,0%,53 : 47,,,,,,
Reporter,Canadian International College (CIC) – Cairo,9494,39.4,2%,32 : 68,,,,,,
Reporter,Catholic University in Erbil,152,3.6,0%,58 : 42,,,,,,
Reporter,Universidad Católica de Colombia,10671,27.2,0%,50 : 50,,,,,,
Reporter,B. S. Abdur Rahman Crescent Institute of Science and Technology,7046,15.7,0%,24 : 76,,,,,,
Reporter,Universidad Católica de Cuenca,16046,20.6,2%,57 : 43,,,,,,
Reporter,Universidad Católica San Pablo,8793,32.5,0%,53 : 47,,,,,,
Reporter,Cebu Technological University,39726,33.3,0%,50 : 50,,,,,,
Reporter,CECOS University of IT and Emerging Sciences,2405,13.0,0%,11 : 89,,,,,,
Reporter,University of Celaya,1993,14.0,2%,50 : 50,,,,,,
Reporter,Central European University,1276,7.6,83%,55 : 45,,,,,,
Reporter,University of Central Punjab,16948,32.8,0%,36 : 64,,,,,,
Reporter,Centro Universitário de Jaguariúna,9839,25.8,0%,58 : 42,,,,,,
Reporter,Centro Universitário Max Planck,5150,16.0,0%,61 : 39,,,,,,
Reporter,CES University,6348,13.5,3%,70 : 30,,,,,,
Reporter,César Ritz Colleges Switzerland,547,4.8,99%,49 : 51,,,,,,
Reporter,CETYS Universidad,4960,9.6,13%,52 : 48,,,,,,
Reporter,Chernihiv National University of Technology,5914,20.5,0%,42 : 58,,,,,,
Reporter,University of Chichester,4182,14.7,7%,62 : 38,,,,,,
Reporter,Chitkara UniversityIndia,12895,15.5,3%,40 : 60,,,,,,
Reporter,Christ University Bengaluru India,23637,20.2,2%,48 : 52,,,,,,
Reporter,University of Civil Protection,743,3.6,12%,10 : 90,,,,,,
Reporter,Coal City University,461,4.8,0%,48 : 52,,,,,,
Reporter,Conservatoire for Dance and Drama,941,10.2,35%,70 : 30,,,,,,
Reporter,University of Constantine 3,14736,16.2,2%,73 : 27,,,,,,
Reporter,Courtauld Institute of Art,509,12.9,51%,82 : 18,,,,,,
Reporter,Cranfield University,3135,7.9,68%,30 : 70,,,,,,
Reporter,Cihan University – Erbil,4457,23.3,1%,43 : 57,,,,,,
Reporter,University for the Creative Arts,5344,18.8,35%,67 : 33,,,,,,
Reporter,"City University of Science and Information Technology, Peshawar",4163,21.3,2%,15 : 85,,,,,,
Reporter,Cross River University of Technology,18915,40.2,0%,36 : 64,,,,,,
Reporter,University of Cumbria,5275,15.8,10%,70 : 30,,,,,,
Reporter,C.V. Raman Global University,6991,15.8,4%,29 : 71,,,,,,
Reporter,Cyprus Health and Social Sciences UniversityNorthern,2354,35.1,75%,45 : 55,,,,,,
Reporter,Daffodil International University (DIU),16157,21.1,3%,34 : 66,,,,,,
Reporter,Debre Tabor University,8414,7.4,0%,41 : 59,,,,,,
Reporter,Universidad del Sinú,4350,25.6,0%,57 : 43,,,,,,
Reporter,Delta University for Science and Technology,8780,16.9,0%,48 : 52,,,,,,
Reporter,Deraya University,4275,18.9,0%,58 : 42,,,,,,
Reporter,Derzhavin Tambov State University,7985,15.1,33%,56 : 44,,,,,,
Reporter,University for Development Studies,20674,33.9,1%,41 : 59,,,,,,
Reporter,Dhaka International University,6033,29.9,8%,17 : 83,,,,,,
Reporter,Dhofar University,3122,17.8,6%,56 : 44,,,,,,
Reporter,Dhonburi Rajabhat University,4210,16.1,1%,61 : 39,,,,,,
Reporter,Dijlah University,8864,28.5,0%,43 : 57,,,,,,
Reporter,University of Diyala,29461,17.9,0%,54 : 46,,,,,,
Reporter,Denau Institute of Entrepreneurship and Pedagogy,5247,21.9,0%,63 : 37,,,,,,
Reporter,Doğuş University,9149,30.2,1%,40 : 60,,,,,,
Reporter,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),1068,18.4,2%,60 : 40,,,,,,
Reporter,Dostoevsky Omsk State University,7355,13.2,6%,63 : 37,,,,,,
Reporter,Dr. M.G.R. Educational and Research Institute,23097,13.3,0%,32 : 68,,,,,,
Reporter,University of Dubai,1147,27.3,24%,29 : 71,,,,,,
Reporter,DHA Suffa University,1807,14.5,0%,15 : 85,,,,,,
Reporter,University of Duhok,23662,13.5,0%,52 : 48,,,,,,
Reporter,EAN University,10000,142.9,0%,nan,,,,,,
Reporter,Ebonyi State University,25204,27.5,0%,50 : 50,,,,,,
Reporter,University of El Oued,29028,33.1,0%,59 : 41,,,,,,
Reporter,École Nationale Polytechnique,1489,8.7,0%,46 : 54,,,,,,
Reporter,École Polytechnique d’Architecture et d’Urbanisme,1371,10.1,0%,69 : 31,,,,,,
Reporter,Academy of Economic Studies of MoldovaMoldova,5525,25.3,1%,53 : 47,,,,,,
Reporter,Edo State University Uzairue,1489,9.5,0%,52 : 48,,,,,,
Reporter,"University of Education, Lahore",27105,33.1,0%,51 : 49,,,,,,
Reporter,Effat University,1067,9.4,26%,99 : 1,,,,,,
Reporter,Egerton University,20472,40.1,1%,43 : 57,,,,,,
Reporter,Egyptian Russian University,6237,13.6,2%,39 : 61,,,,,,
Reporter,Egypt-Japan University of Science and Technology (E-JUST),539,6.7,3%,33 : 67,,,,,,
Reporter,"University of Engineering and Technology, Mardan",1208,21.6,1%,5 : 95,,,,,,
Reporter,ESICSpain,6123,19.4,10%,46 : 54,,,,,,
